relation_type	related_work	related_person	start_date	end_date
1049	http://schnitzler-werkimport/F3_n1_w15	pmb10825		
1049	http://schnitzler-werkimport/F3_n1_w8	pmb10825		
1049	http://schnitzler-werkimport/F3_n1_w19	pmb10825		
1049	http://schnitzler-werkimport/F3_n1_w6_o1	pmb10825		
1049	http://schnitzler-werkimport/F3_n1_w22	pmb10825		
1049	http://schnitzler-werkimport/F3_n1_w17	pmb10825		
1049	http://schnitzler-werkimport/F3_n1_w11	pmb10825		
1049	http://schnitzler-werkimport/F3_n1_w5_o1	pmb10825		
1049	http://schnitzler-werkimport/work_1415	pmb10825		
1049	http://schnitzler-werkimport/F3_n1_w6_t1	pmb10825		
1049	http://schnitzler-werkimport/F3_n1_w23	pmb10825		
1049	http://schnitzler-werkimport/F3_n1_w10	pmb10825		
1049	http://schnitzler-werkimport/F3_n1_w24_o1	pmb10825		
1049	http://schnitzler-werkimport/work_1418	pmb10825		
1049	http://schnitzler-werkimport/F3_n1_w5_t1	pmb10825		
1049	http://schnitzler-werkimport/D302_n1_w4	pmb12152		
1049	http://schnitzler-werkimport/D302_n1_w1	pmb12152		
1049	http://schnitzler-werkimport/D302_n1_w2	pmb12152		
1049	http://schnitzler-werkimport/D302_n1_w5	pmb12152		
1049	http://schnitzler-werkimport/work_2318	pmb11273		
1049	http://schnitzler-werkimport/work_2312	pmb11273		
1049	http://schnitzler-werkimport/work_2313	pmb11273		
1049	http://schnitzler-werkimport/D106_n1_w7	pmb11273		
1049	http://schnitzler-werkimport/work_2320	pmb11273		
1049	http://schnitzler-werkimport/work_2315	pmb11273		
1049	http://schnitzler-werkimport/work_2324	pmb11273		
1049	http://schnitzler-werkimport/work_2319	pmb11273		
1049	http://schnitzler-werkimport/work_4189	pmb5198		
1049	http://schnitzler-werkimport/work_3902	pmb12225		
1049	http://schnitzler-werkimport/work_3901	pmb12225		
1049	http://schnitzler-werkimport/work_3905	pmb12225		
1049	http://schnitzler-werkimport/work_3903	pmb12225		
1049	http://schnitzler-werkimport/D308_n1_w1	pmb12225		
1049	http://schnitzler-werkimport/work_2327	pmb11281		
1049	http://schnitzler-werkimport/work_4144	pmb12358		
1049	http://schnitzler-werkimport/work_4147	pmb12358		
1049	http://schnitzler-werkimport/work_1274	pmb10772		
1049	http://schnitzler-werkimport/work_1277	pmb10772		
1049	http://schnitzler-werkimport/work_1276	pmb10772		
1049	http://schnitzler-werkimport/work_1278	pmb10772		
1049	http://schnitzler-werkimport/work_1281	pmb10772		
1049	http://schnitzler-werkimport/work_1280	pmb10772		
1049	http://schnitzler-werkimport/work_1279	pmb10772		
1049	http://schnitzler-werkimport/work_3939	pmb12240		
1049	http://schnitzler-werkimport/work_2263	pmb11230		
1049	http://schnitzler-werkimport/work_5619	pmb13212		
1049	http://schnitzler-werkimport/work_5623	pmb13212		
1049	http://schnitzler-werkimport/work_5622	pmb13212		
1049	http://schnitzler-werkimport/work_5618	pmb13212		
1049	http://schnitzler-werkimport/work_5620	pmb13212		
1049	http://schnitzler-werkimport/work_5621	pmb13212		
1049	http://schnitzler-werkimport/work_5625	pmb13212		
1049	http://schnitzler-werkimport/work_5626	pmb13212		
1049	http://schnitzler-werkimport/work_3977	pmb3272		
1049	http://schnitzler-werkimport/work_3982	pmb3272		
1049	http://schnitzler-werkimport/work_3983	pmb3272		
1049	http://schnitzler-werkimport/work_3979	pmb3272		
1049	http://schnitzler-werkimport/work_3978	pmb3272		
1049	http://schnitzler-werkimport/work_3981	pmb3272		
1049	http://schnitzler-werkimport/work_1254	pmb28321		
1049	http://schnitzler-werkimport/work_1255	pmb28321		
1049	http://schnitzler-werkimport/R1_n1_w1_o1	pmb28321		
1049	http://schnitzler-werkimport/work_1256	pmb28321		
1049	http://schnitzler-werkimport/work_4100	pmb2357		
1049	http://schnitzler-werkimport/work_4101	pmb2357		
1049	http://schnitzler-werkimport/work_2705	pmb11461		
