id	name	start_date	end_date	kind
http://schnitzler-werkimport/F3_n1_w18	Histoire de la grandeur et de la décadence de César Biroteau, marchand parfumeur, adjoint au maire du deuxième arrondissement de Paris, chevalier de la légion d’honneur, etc	1838	1838	
http://schnitzler-werkimport/F3_n1_w7_t1	Honorine	1886	1886	
http://schnitzler-werkimport/F3_n1_w7_o1	Honorine	1843	1843	
http://schnitzler-werkimport/F3_n1_w9	Illusions perdues	1837	1837	
http://schnitzler-werkimport/F3_n1_w20	La cousine Bette	1846	1846	1060
http://schnitzler-werkimport/F3_n1_w2_o1	La fausse maîtresse	1841	1841	
http://schnitzler-werkimport/F3_n1_w12	La fausse maîtresse	1841	1841	
http://schnitzler-werkimport/F3_n1_w1	La femme de trente ans	1842	1842	1060
http://schnitzler-werkimport/F3_n1_w3_o1	La maison du chat-qui-pelote	1839	1839	
http://schnitzler-werkimport/F3_n1_w4_o1	La vendetta	1830	1830	
http://schnitzler-werkimport/F3_n1_w14	La paix du ménage	1842	1842	
http://schnitzler-werkimport/F3_n1_w15	Une double famille	1842	1842	
http://schnitzler-werkimport/F3_n1_w8	La peau de chagrin	1831	1831	
http://schnitzler-werkimport/F3_n1_w19	La vielle fille	1836	1836	
http://schnitzler-werkimport/F3_n1_w6_o1	Le colonel Chabert	1832	1832	
http://schnitzler-werkimport/F3_n1_w22	Le lys dans la vallée	1836	1836	
http://schnitzler-werkimport/F3_n1_w17	Le médecin de campagne	1833	1833	1060
http://schnitzler-werkimport/F3_n1_w11	Le père Goriot	1835	1835	1060
http://schnitzler-werkimport/F3_n1_w5_o1	Les contes drôlatiques	1832	1832	
http://schnitzler-werkimport/work_1415	Les Marana			1060
http://schnitzler-werkimport/F3_n1_w6_t1	Oberst Chabert	1886	1886	
http://schnitzler-werkimport/F3_n1_w23	Paméla Giraud	1843	1843	
http://schnitzler-werkimport/F3_n1_w10	Physiologie du marriage ou Méditations de philosophie éclectique sur le bonheur et le malheur conjugal, publiées par un jeune célibataire	1829	1829	
http://schnitzler-werkimport/F3_n1_w24_o1	Splendeurs et misères des courtisanes	1838	1847	
http://schnitzler-werkimport/work_1418	Vautrin			1060
http://schnitzler-werkimport/F3_n1_w5_t1	Wie das schöne Mägdelein von Portillon seinen Richter mundtot machte	1927	1927	
http://schnitzler-werkimport/D302_n1_w4	Der Sybarit und anderes in Prosa	1903	1903	
http://schnitzler-werkimport/D302_n1_w1	Die Anarchisten. Kulturgemälde aus dem Ende des neunzehnten Jahrhunderts	1891	1891	
http://schnitzler-werkimport/D302_n1_w2	Die letzte Pflicht. Eine Geschichte ohne Handlung	1893	1893	
http://schnitzler-werkimport/D302_n1_w5	Schatten. Novellistische Studien	1887	1887	
http://schnitzler-werkimport/work_2318	Alles um Liebe. Eine Komödie			
http://schnitzler-werkimport/work_2312	Anna Walewska. Tragödie			
http://schnitzler-werkimport/work_2313	Belinde. Ein Liebesstück in fünf Aufzügen			1097
http://schnitzler-werkimport/D106_n1_w7	Der natürliche Vater	1909	1909	
http://schnitzler-werkimport/work_2320	Münchhausen. Ein deutsches Schauspiel			1097
http://schnitzler-werkimport/work_2315	Sonderbare Geschichten			
http://schnitzler-werkimport/work_2324	Zeitwende. Ein Schauspiel in fünf Akten			1097
http://schnitzler-werkimport/work_2319	Zwischen zwei Männern			
