relation_type	uri	related_work	start_date	end_date
1884	http://schnitzler-werkimport/F32_n1_w1_t1	http://schnitzler-werkimport/F32_n1_w1_o1	1927	1927
1884	http://schnitzler-werkimport/work_2049	http://schnitzler-werkimport/F34_n1_w1_o1		
1884	http://schnitzler-werkimport/F37_n1_w4_t1	http://schnitzler-werkimport/F37_n1_w4_o1	1877	1877
1884	http://schnitzler-werkimport/F37_n1_w5_t1	http://schnitzler-werkimport/F37_n1_w5_o1	1880	1880
1884	http://schnitzler-werkimport/F37_n1_w6_t1	http://schnitzler-werkimport/F37_n1_w6_o1	1880	1880
1884	http://schnitzler-werkimport/F48_n1_w1_t1	http://schnitzler-werkimport/F48_n1_w1_o1	1868	1868
1884	http://schnitzler-werkimport/F48_n1_w2_t1	http://schnitzler-werkimport/F48_n1_w2_o1	1859	1859
1884	http://schnitzler-werkimport/F49_n1_w1_t1	http://schnitzler-werkimport/F49_n1_w1_o1	1878	1878
1884	http://schnitzler-werkimport/F57_n1_w2_t1	http://schnitzler-werkimport/F57_n1_w2_o1	1868	1868
1884	http://schnitzler-werkimport/F57_n1_w1_t1	http://schnitzler-werkimport/F57_n1_w1_o1	1867	1867
1884	http://schnitzler-werkimport/F60_n1_w1_t1	http://schnitzler-werkimport/F60_n1_w1_o1	1906	1906
1884	http://schnitzler-werkimport/F63_n1_w1_t1	http://schnitzler-werkimport/F63_n1_w1_o1	1885	1885
1884	http://schnitzler-werkimport/F74_n1_w2_t1	http://schnitzler-werkimport/F74_n1_w2_o1	1835	1835
1884	http://schnitzler-werkimport/F78_n1_w1_t1	http://schnitzler-werkimport/F78_n1_w1_o1	1926	1926
1884	http://schnitzler-werkimport/F88_n1_w1_t1	http://schnitzler-werkimport/F88_n1_w1_o1	1730	1730
1884	http://schnitzler-werkimport/F88_n1_w3_t1	http://schnitzler-werkimport/F88_n1_w3_o1	1726	1726
1884	http://schnitzler-werkimport/F89_n1_w1_t1	http://schnitzler-werkimport/F89_n1_w1_o1	1912	1912
1884	http://schnitzler-werkimport/F95_n1_w1_t1	http://schnitzler-werkimport/F95_n1_w1_o1	1897	1897
1884	http://schnitzler-werkimport/F96_n1_w1_t1	http://schnitzler-werkimport/F96_n1_w1_o1	1920	1920
1884	http://schnitzler-werkimport/F116_n1_w1_t1	http://schnitzler-werkimport/F116_n1_w1_o1	1874	1877
1884	http://schnitzler-werkimport/F123_n1_w1_t1	http://schnitzler-werkimport/F123_n1_w1_o1	1875	1875
1884	http://schnitzler-werkimport/F127_n1_w3_t1	http://schnitzler-werkimport/F127_n1_w3_o1	1913	1913
1884	http://schnitzler-werkimport/F134_n1_w1_t1	http://schnitzler-werkimport/F134_n1_w1_o1	1552	1552
1884	http://schnitzler-werkimport/work_3629	http://schnitzler-werkimport/F139_n1_w1_o1		
1884	http://schnitzler-werkimport/F143_n1_w1_t1	http://schnitzler-werkimport/F143_n1_w1_o1	1913	1913
1884	http://schnitzler-werkimport/F145_n1_w1_t1	http://schnitzler-werkimport/F145_n1_w1_o1	1882	1882
1884	http://schnitzler-werkimport/F150_n1_w1_t1	http://schnitzler-werkimport/F150_n1_w1_o1	1910	1910
1884	http://schnitzler-werkimport/F151_n1_w6_t1	http://schnitzler-werkimport/F151_n1_w6_o1	1851	1851
1884	http://schnitzler-werkimport/F151_n1_w5_t1	http://schnitzler-werkimport/F151_n1_w5_o1	1885	1885
1884	http://schnitzler-werkimport/F151_n1_w7_t1	http://schnitzler-werkimport/F151_n1_w7_o1	1906	1906
1884	http://schnitzler-werkimport/F151_n1_w1_t1	http://schnitzler-werkimport/F151_n1_w1_o1	1836	1836
1884	http://schnitzler-werkimport/F151_n1_w2_t1	http://schnitzler-werkimport/F151_n1_w2_o1	1879	1879
1884	http://schnitzler-werkimport/F151_n1_w3_t1	http://schnitzler-werkimport/F151_n1_w3_o1	1840	1840
1884	http://schnitzler-werkimport/F152_n1_w1_t1	http://schnitzler-werkimport/F152_n1_w1_o1	1748	1748
1884	http://schnitzler-werkimport/F161_n1_w2_t1	http://schnitzler-werkimport/F161_n1_w2_o1	1868	1868
1884	http://schnitzler-werkimport/F161_n1_w1_t1	http://schnitzler-werkimport/F161_n1_w1_o1	1850	1850
1884	http://schnitzler-werkimport/F162_n1_w1_t1	http://schnitzler-werkimport/F162_n1_w1_o1	1844	1845
1884	http://schnitzler-werkimport/F164_n1_w1_t1	http://schnitzler-werkimport/F164_n1_w1_o1	1850	1850
1884	http://schnitzler-werkimport/F168_n1_w1_t1	http://schnitzler-werkimport/F168_n1_w1_o1	1860	1860
1884	http://schnitzler-werkimport/F174_n1_w5_t1	http://schnitzler-werkimport/F174_n1_w5_o1	1873	1911
1884	http://schnitzler-werkimport/F174_n1_w4_t1	http://schnitzler-werkimport/F174_n1_w4_o1	1882	1882
1884	http://schnitzler-werkimport/F174_n1_w3_t1	http://schnitzler-werkimport/F174_n1_w3_o1	1873	1911
1884	http://schnitzler-werkimport/F174_n1_w1_t1	http://schnitzler-werkimport/F174_n1_w1_o1	1875	1875
